page_title,page_namespace,wayback_api_url,wayback_url,el_to_domain_index,el_to_path
Consuelo_Hernández_(pintora),0,http://archive.org/wayback/available?url=http://www.xishang.es/2015/09/%E7%94%BB%E5%B1%95-%E8%A3%85x%E6%8C%87%E5%8D%97%EF%BC%88%E5%B9%B2%E8%B4%A7%E8%B4%B4%EF%BC%89%E5%A6%88%E5%A6%88%E5%86%8D%E4%B9%9F%E4%B8%8D%E7%94%A8%E6%8B%85%E5%BF%83%E7%9C%8B%E4%B8%8D%E6%87%82/,http://web.archive.org/web/20160506174157/http://www.xishang.es/2015/09/%e7%94%bb%e5%b1%95-%e8%a3%85x%e6%8c%87%e5%8d%97%ef%bc%88%e5%b9%b2%e8%b4%a7%e8%b4%b4%ef%bc%89%e5%a6%88%e5%a6%88%e5%86%8d%e4%b9%9f%e4%b8%8d%e7%94%a8%e6%8b%85%e5%bf%83%e7%9c%8b%e4%b8%8d%e6%87%82/,https://today.archive.,/20151113084158/http://www.xishang.es/2015/09/%E7%94%BB%E5%B1%95-%E8%A3%85x%E6%8C%87%E5%8D%97%EF%BC%88%E5%B9%B2%E8%B4%A7%E8%B4%B4%EF%BC%89%E5%A6%88%E5%A6%88%E5%86%8D%E4%B9%9F%E4%B8%8D%E7%94%A8%E6%8B%85%E5%BF%83%E7%9C%8B%E4%B8%8D%E6%87%82/
Crocodylus_intermedius,0,http://archive.org/wayback/available?url=https://animalespedia.com/reptiles/cocodrilo-del-orinoco-crocodylus-intermedius/,http://web.archive.org/web/20231012170605/https://animalespedia.com/reptiles/cocodrilo-del-orinoco-crocodylus-intermedius/,https://today.archive.,/20171005164555/https://animalespedia.com/reptiles/cocodrilo-del-orinoco-crocodylus-intermedius/
Crocodylus_intermedius,0,http://archive.org/wayback/available?url=https://blog.lengua-e.com/2017/etimologia-de-cocodrilo/,http://web.archive.org/web/20240909114607/https://blog.lengua-e.com/2017/etimologia-de-cocodrilo/,https://today.archive.,/20171019163723/https://blog.lengua-e.com/2017/etimologia-de-cocodrilo/
Cuernavaca,0,"http://archive.org/wayback/available?url=http://noticias.terra.com.mx/mexico/estados/logro-cuernavaca-hermanamiento-con-diversas-ciudades-en-2015,f5a4f23591554ef52e29f18076ad0d39umj05ww9.html","http://web.archive.org/web/20160812164332/https://noticias.terra.com.mx/mexico/estados/logro-cuernavaca-hermanamiento-con-diversas-ciudades-en-2015,f5a4f23591554ef52e29f18076ad0d39umj05ww9.html",https://today.archive.,"/20160507012237/http://noticias.terra.com.mx/mexico/estados/logro-cuernavaca-hermanamiento-con-diversas-ciudades-en-2015,f5a4f23591554ef52e29f18076ad0d39umj05ww9.html"
Cultura_del_estado_de_Hidalgo,0,http://archive.org/wayback/available?url=http://www.oem.com.mx/esto/notas/n1393325.htm,http://web.archive.org/web/20161117211133/http://www.oem.com.mx/esto/notas/n1393325.htm,https://today.archive.,/20161116235436/http://www.oem.com.mx/esto/notas/n1393325.htm
Cultura_del_estado_de_Hidalgo,0,http://archive.org/wayback/available?url=http://www.oem.com.mx/elmexicano/notas/n2231310.htm,http://web.archive.org/web/20160303211920/http://www.oem.com.mx/elmexicano/notas/n2231310.htm,https://today.archive.,/20120909215305/http://www.oem.com.mx/elmexicano/notas/n2231310.htm
Cultura_del_estado_de_Hidalgo,0,http://archive.org/wayback/available?url=http://www.oem.com.mx/elsoldemexico/notas/n685718.htm,http://web.archive.org/web/20160305013915/http://www.oem.com.mx/elsoldemexico/notas/n685718.htm,https://today.archive.,/20141225181309/http://www.oem.com.mx/elsoldemexico/notas/n685718.htm
Dan_Dascalescu,0,http://archive.org/wayback/available?url=http://www.seasteading.org/ambassadors/%23dandv#dandv,http://web.archive.org/web/20230317161135/https://www.seasteading.org/ambassadors/,https://today.archive.,/20130928102134/http://www.seasteading.org/ambassadors/%23dandv#dandv
Daniel_Powter,0,http://archive.org/wayback/available?url=http://www.chartstats.com/artistinfo.php?id=707,http://web.archive.org/web/20121021005601/http://www.chartstats.com/artistinfo.php?id=707,https://today.archive.,/20120722042735/http://www.chartstats.com/artistinfo.php?id=707
Danielle_Foxxx,0,http://archive.org/wayback/available?url=http://www.adultfyi.com/read.php?ID=17316,http://web.archive.org/web/20141031022101/http://www.adultfyi.com/read.php?ID=17316,https://today.archive.,/20130110134359/http://www.adultfyi.com/read.php?ID=17316
